"","Date","value"
"1",2003-02-01,1329.32441383351
"2",2003-03-01,1346.6609991477
"3",2003-04-01,1349.73595554926
"4",2003-05-01,1314.60653380396
"5",2003-06-01,1275.52465970625
"6",2003-07-01,1235.85245710839
"7",2003-08-01,1194.12262328681
"8",2003-09-01,1159.26579563422
"9",2003-10-01,1139.61625055509
"10",2003-11-01,1133.4603076166
"11",2003-12-01,1169.11391255035
"12",2004-01-01,1205.49745140223
"13",2004-02-01,1253.26240995029
"14",2004-03-01,1279.16887408635
"15",2004-04-01,1272.59082679767
"16",2004-05-01,1273.72070726731
"17",2004-06-01,1284.58065501145
"18",2004-07-01,1264.93933094673
"19",2004-08-01,1238.64871716278
"20",2004-09-01,1184.95535827167
"21",2004-10-01,1158.26548513025
"22",2004-11-01,1183.59084585244
"23",2004-12-01,1217.92694138391
"24",2005-01-01,1293.66354292982
"25",2005-02-01,1329.54786701002
"26",2005-03-01,1299.41516559901
"27",2005-04-01,1291.04642973107
"28",2005-05-01,1255.62637999173
"29",2005-06-01,1235.31513820426
"30",2005-07-01,1219.97364935617
"31",2005-08-01,1197.17249081924
"32",2005-09-01,1174.46414382296
"33",2005-10-01,1186.24209835225
"34",2005-11-01,1201.87172276587
"35",2005-12-01,1239.84459124134
"36",2006-01-01,1277.31006901487
"37",2006-02-01,1291.42254064934
"38",2006-03-01,1344.86838363905
"39",2006-04-01,1344.80424766816
"40",2006-05-01,1283.51804315192
"41",2006-06-01,1233.21713532213
"42",2006-07-01,1189.31728733338
"43",2006-08-01,1144.21764980601
"44",2006-09-01,1108.66066713833
"45",2006-10-01,1124.16661163758
"46",2006-11-01,1139.28178162825
"47",2006-12-01,1190.6421936359
"48",2007-01-01,1345.17844450283
"49",2007-02-01,1422.62475182056
"50",2007-03-01,1383.48428694607
"51",2007-04-01,1327.2168579219
"52",2007-05-01,1289.98190158886
"53",2007-06-01,1262.30571110566
"54",2007-07-01,1220.79522374943
"55",2007-08-01,1201.59726946104
"56",2007-09-01,1146.68955749835
"57",2007-10-01,1097.99568063833
"58",2007-11-01,1136.97761771242
"59",2007-12-01,1178.90556449306
"60",2008-01-01,1220.9128169146
"61",2008-02-01,1296.56496403211
"62",2008-03-01,1326.92680715088
"63",2008-04-01,1333.35600355771
"64",2008-05-01,1327.35393947599
"65",2008-06-01,1300.05907637104
"66",2008-07-01,1262.3002352804
"67",2008-08-01,1223.55129408822
"68",2008-09-01,1181.75548004694
"69",2008-10-01,1178.46644229549
"70",2008-11-01,1205.33825792805
"71",2008-12-01,1206.67151692311
"72",2009-01-01,1236.33435142974
"73",2009-02-01,1290.31180557569
"74",2009-03-01,1296.5350618235
"75",2009-04-01,1282.73727552626
"76",2009-05-01,1249.58249824296
"77",2009-06-01,1227.76895374704
"78",2009-07-01,1230.25533088379
"79",2009-08-01,1235.87768870333
"80",2009-09-01,1243.75809947092
"81",2009-10-01,1264.16249862718
"82",2009-11-01,1274.12143617807
"83",2009-12-01,1325.2038119076
"84",2010-01-01,1376.00941664812
"85",2010-02-01,1394.28720821899
"86",2010-03-01,1378.55550600693
"87",2010-04-01,1375.30540932366
"88",2010-05-01,1334.3025688502
"89",2010-06-01,1304.41917418112
"90",2010-07-01,1271.41282124726
"91",2010-08-01,1244.43484072327
"92",2010-09-01,1185.73732888578
"93",2010-10-01,1199.85002339155
"94",2010-11-01,1205.23749538053
"95",2010-12-01,1234.97737483324
"96",2011-01-01,1302.5896338019
"97",2011-02-01,1330.16061924463
"98",2011-03-01,1406.28940284565
"99",2011-04-01,1420.08698979424
"100",2011-05-01,1378.03828263191
"101",2011-06-01,1335.34193824816
"102",2011-07-01,1303.7583098699
"103",2011-08-01,1264.71525562295
"104",2011-09-01,1218.04188145963
"105",2011-10-01,1197.04563923767
"106",2011-11-01,1206.54541602784
"107",2011-12-01,1227.53689193495
"108",2012-01-01,1268.39399640611
"109",2012-02-01,1289.13929218194
"110",2012-03-01,1268.98874892198
"111",2012-04-01,1247.87915834076
"112",2012-05-01,1251.3812651737
"113",2012-06-01,1279.87398274446
"114",2012-07-01,1296.6096093417
"115",2012-08-01,1257.99056983113
"116",2012-09-01,1197.62364052043
"117",2012-10-01,1160.85752093248
"118",2012-11-01,1146.34492445997
"119",2012-12-01,1159.8943776521
"120",2013-01-01,1216.47447829417
"121",2013-02-01,1260.66024629604
"122",2013-03-01,1278.24380764062
"123",2013-04-01,1307.85772905299
"124",2013-05-01,1279.21764190067
"125",2013-06-01,1294.46264040435
"126",2013-07-01,1304.2222821664
"127",2013-08-01,1268.77113447761
"128",2013-09-01,1220.88770110189
"129",2013-10-01,1220.75315639377
"130",2013-11-01,1208.67370263889
"131",2013-12-01,1217.74381523628
"132",2014-01-01,1211.44532626509
"133",2014-02-01,1164.85616212686
"134",2014-03-01,1168.92171955965
"135",2014-04-01,1169.27919618901
"136",2014-05-01,1157.64960068098
"137",2014-06-01,1157.54890693932
"138",2014-07-01,1143.11162352175
"139",2014-08-01,1132.09208743337
"140",2014-09-01,1106.95460417483
"141",2014-10-01,1095.61725899747
